la_code,name,type,majority_party,majority_party_id,governing_coalition,conservative_councillors,labour_councillors,lib_dem_councillors,green_councillors,ukip_councillors,plaid_cymru_councillors,snp_councillors,independent_councillors,vacant,total_councillors,boundary,notes,url,last_update
E06000020,Telford and Wrekin,Unitary,Labour,15,Labour,21,28,3,0,0,0,0,2,0,54,,,http://apps.telford.gov.uk/CouncilAndDemocracy/Councillors?page=1,2017-05-28
E06000021,Stoke-on-Trent,Unitary,No Overall Control,noc,Independent/Conservative/UKIP,7,20,0,0,1,0,0,16,0,44,,City Independents 16,http://www.moderngov.stoke.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-28
E06000022,Bath and North East Somerset,Unitary,Conservative,4,Conservative,37,6,16,1,0,0,0,5,0,65,,,https://democracy.bathnes.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-28
E06000023,"Bristol, City of",Unitary,Labour,15,Labour Mayor,14,37,8,11,0,0,0,0,0,70,,,https://democracy.bristol.gov.uk/mgFindMember.aspx?XXR=0&AC=USERSEARCH,2017-05-28
E06000024,North Somerset,Unitary,Conservative,4,Conservative,36,3,4,1,0,0,0,6,0,50,,,http://www.n-somerset.gov.uk/my-council/councillors/councillor/find-your-councillors/list-of-councillors/,2017-05-28
E06000025,South Gloucestershire,Unitary,Conservative,4,Conservative,39,14,16,0,0,0,0,0,1,70,,,https://council.southglos.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-28
E06000026,Plymouth,Unitary,No Overall Control,noc,Conservative/UKIP,27,27,0,0,3,0,0,0,0,57,,,http://web.plymouth.gov.uk/modgov?modgovlink=http://democracy.plymouth.gov.uk/mgMemberIndex.aspx,2017-05-28
E06000027,Torbay,Unitary,Conservative,4,Conservative Mayor,24,0,8,0,1,0,0,3,0,36,,,http://www.torbay.gov.uk/DemocraticServices/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-28
E06000028,Bournemouth,Unitary,Conservative,4,Conservative,52,0,0,1,0,0,0,1,0,54,,,http://www.bournemouth.gov.uk/councildemocratic/Councillors/Councillors.aspx?CouncillorsListing_DisplayMode=Party,2017-05-28
E06000029,Poole,Unitary,Conservative,4,Conservative,30,0,7,0,1,0,0,4,0,42,,,http://www.poole.gov.uk/your-council/councillors/meet-your-councillor/,2017-05-28
E06000030,Swindon,Unitary,Conservative,4,Conservative,30,25,2,0,0,0,0,0,0,57,,,http://ww5.swindon.gov.uk/moderngov/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0&J=2,2017-05-28
E06000031,Peterborough,Unitary,No Overall Control,noc,Conservative Minority,29,14,7,0,2,0,0,6,2,60,,"Liberal Party 3, Werrington First 3, Independent 1",http://democracy.peterborough.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-28
E06000032,Luton,Unitary,Labour,15,Labour,5,33,8,0,0,0,0,1,1,48,,,http://democracy.luton.gov.uk/cmis5public/Councillors.aspx,2017-05-28
E06000033,Southend-on-Sea,Unitary,Conservative,4,Conservative,27,10,2,0,0,0,0,12,0,51,,"Independent Group 9, Southend Independence Group 3, non-aligned Independent 1",http://democracy.southend.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-31
E06000034,Thurrock,Unitary,No Overall Control,noc,Conservative Minority,18,14,0,0,17,0,0,0,0,49,,,https://www.thurrock.gov.uk/current-councillors,2017-05-28
E06000035,Medway,Unitary,Conservative,4,Conservative,38,15,0,0,2,0,0,0,0,55,,,https://democracy.medway.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-28
E06000036,Bracknell Forest,Unitary,Conservative,4,Conservative,41,1,0,0,0,0,0,0,0,42,,,http://democratic.bracknell-forest.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-31
E06000037,West Berkshire,Unitary,Conservative,4,Conservative,47,0,4,0,0,0,0,0,1,52,,,http://decisionmaking.westberks.gov.uk/mgMemberIndex.aspx?VW=TABLE&PIC=1&FN=ALPHA,2017-05-28
E06000038,Reading,Unitary,Labour,15,Labour,10,31,2,3,0,0,0,0,0,46,,Manual,http://www.reading.gov.uk/cllrdavidabsolom,2017-05-31
E06000039,Slough,Unitary,Labour,15,Labour,8,33,0,0,1,0,0,0,0,42,,,http://www.slough.gov.uk/moderngov/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-28
E06000040,Windsor and Maidenhead,Unitary,Conservative,4,Conservative,53,0,1,0,0,0,0,3,0,57,,Old Windsor Residents' Association 2,http://rbwm.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-28
